character,Ant-Man,Avengers: Age of Ultron,Avengers: Endgame,Avengers: Infinity War,Black Panther,Captain America: Civil War,Captain America: The First Avenger,Captain America: The Winter Soldier,Captain Marvel,Guardians of the Galaxy Vol. 2,Iron Man,Iron Man 2,Iron Man 3,Spider-Man: Homecoming,The Avengers,Thor,Thor: Ragnarok,Thor: The Dark World,total lines,total words,movie appearances,avg words per line,avg lines per movie
SHIELD TECH,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,6,38,2,6,3
CINDY MOON,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,6,28,1,4,6
COMPUTER,3,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,6,13,3,2,2
FRENCH PIRATE #1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,5,99,1,19,5
ABU,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,89,1,17,5
MARIA STARK,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,5,86,1,17,5
SEARCH TEAM LEADER,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,5,72,1,14,5
BRANDT’S AIDE,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,5,68,1,13,5
DRUNK TOWNIE JAKE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,66,1,13,5
YOUNG TONY STARK,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,5,65,1,13,5
JASON IONELLO,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,64,1,12,5
ANNOUNCER,0,1,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,5,52,3,10,1
PVT. LORRAINE,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,5,52,1,10,5
ROSE HILLS SHERIFF,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,51,1,10,5
PILOT,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,2,5,49,4,9,1
MEREDITH QUILL,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,5,47,1,9,5
TOM,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,5,46,1,9,5
EINHERJAR GUARD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,5,41,2,8,2
A1 THOR,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,39,1,7,5
AGENT,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,5,34,2,6,2
ISABELA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,33,1,6,5
CHARLIE WEAPONS TECH,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,5,30,1,6,5
ATT-LASS,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,5,27,1,5,5
SECURITY,0,0,1,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,5,25,3,5,1
COLLECTOR,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,25,1,5,5
JACK,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,5,24,1,4,5
MINING TRIBE ELDER,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,23,1,4,5
YOUNG ZURI,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,22,1,4,5
STRAWBERRY MAN,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,5,17,1,3,5
LILA BARTON,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,16,2,3,2
SON,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,15,1,3,5
JACK TAGGART,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,14,1,2,5
CROWD,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,1,0,5,9,3,1,1
REPORTER,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0,0,0,4,186,3,46,1
FATHER,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,166,1,41,4
SERGEANT DUFFY,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,4,122,2,30,2
